Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_04_223.jpg,0,0.6046062,0,1.721119,100.3215,82.21759,359.9286,280.9492,0.07761397
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_04_288.jpg,0,0.7984267,0,1.755581,100.3415,82.1142,359.9256,280.9492,0.0842458
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_04_356.jpg,0,0.9984139,0,1.791669,100.3692,81.97086,0.04404851,280.949,0.08950406
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_04_424.jpg,0,1,0,1.834593,100.3906,81.85898,0.2141113,280.9446,0.08149161
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_04_489.jpg,0,1,0,1.892737,100.4125,81.74384,0.4233131,280.9349,0.05138756
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_04_556.jpg,1.501352,0.8999099,0,1.936472,100.4431,81.58575,0.7438682,280.9988,0.00133292
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_04_622.jpg,4.507328,0.6995115,0,1.974135,100.4689,81.46535,0.9777035,281.3747,0.0006816373
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_04_690.jpg,4.381853,0.4941993,0,2.008971,100.4968,81.34451,1.176967,282.0033,0.01914491
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_04_756.jpg,1.433726,0.2976575,0,2.025762,100.5331,81.1836,1.329091,282.4938,-0.003975626
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_04_821.jpg,0,0.1036687,0,2.036339,100.5595,81.06485,1.292894,282.5788,-0.001656836
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_04_890.jpg,0,0,0,2.0341,100.5853,80.94724,1.195702,282.5841,-0.0005346588
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_04_960.jpg,0,0,0,2.02818,100.6194,80.79188,1.012718,282.5715,-0.000225725
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_05_022.jpg,0,0,0,2.021908,100.6447,80.67627,0.8482316,282.5605,5.714906E-05
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_05_089.jpg,0,0,0,2.01343,100.6699,80.56129,0.6700253,282.5519,0.005041711
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_05_156.jpg,0,0,0,2.00699,100.7036,80.4088,0.4238079,282.5468,0.02328782
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_05_223.jpg,0,0.09930201,0,2.000481,100.7289,80.2948,0.2412416,282.5467,0.04265508
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_05_289.jpg,0,0.2989514,0,2.000262,100.7543,80.18044,0.07521892,282.5468,0.05973529
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_05_356.jpg,0,0.4996982,0,2.010771,100.7887,80.02585,359.9175,282.5468,0.07820393
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_05_419.jpg,0,0.6992456,0,2.029474,100.815,79.90717,359.875,282.5439,0.0818624
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_05_486.jpg,0,0.5060247,0,2.063083,100.8419,79.786,359.8948,282.5426,0.08295023
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_05_553.jpg,0,0.3074705,0,2.078602,100.8782,79.62231,359.9698,282.5423,0.08194037
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_05_623.jpg,0,0.1025601,0,2.086006,100.9056,79.49911,0.03118746,282.5422,0.07941405
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_05_690.jpg,0,0,0,2.081439,100.9329,79.37644,0.07514165,282.5422,0.07552391
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_05_756.jpg,0,0,0,2.074628,100.969,79.21411,0.098531,282.5417,0.06716496
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_05_822.jpg,0,0.1017328,0,2.067831,100.9958,79.09312,0.0956561,282.5411,0.05962595
